Code,Airport Name,State
ANC,Anchorage airport,Alaska
SEA,Seattle-Tacoma international airport,Seattle
OTH,Southwest Oregon Regional airport,Origon
LAS,McCarran international Airport,Nevada
LAX,Los Angeles international airport,California
ITO,Hilo international airport,Hawaii
BIL,Billings Logan international airport,Montana
JAC,Jackson Hole airport,Wyoming
SLC,Salt Lake City international airport,Utah
PHX,Phoenix Sky Harbor international airport,Arizona
BIS,Bismarck Municipal Airport,N.Dakota
FSD,Sioux Falls Regional airport,S.Dakota
LNK,Lincoln Airport,Nebraska
DEN,Denver international airport,Colorado
SAF,Santa Fe Regional Airport,New Mexico
MSP,Minneapolis-Saint Paul international airport,Minnesota
CID,The Eastern Iowa airport,Iowa
MCI,Kansas City international airport,Missouri
BYH,Arkansas international airport,Arkansas
AEX,Alexandria international airport,Louisiana
CWA,Central Wisconsin airport,Wisconsin
BMI,Central Illinois Regional,Illinois
BNA,Nashville Regional airport,Tennessee
BHM,Birmingham- shuttlesworth international airport,Alabama
GPT,Gulfport Biloxi international airport,Mississippi
DTW,Detroit Metro airport,Michigan
CMH,John Glenn Columbus International airport,Ohio
CVG,Cincinnati/northern Kentucky international airport,Kentucky
ATL,Hartsfield-Jackson Atlanta international airport,Georgia
RSW,Southwest Florida international airport,Florida
JFK,John F. Kennedy international airport,New York
PHL,Philadelphia international airport,Pennsylvania
IAD,Dulles international airport,Virginia
CLT,Charlotte/Douglas international airport,N.Carolina
GSP,Greenville-Spartanburg international airport,S.Carolina
PWM,Portland international airport,Maine
